policy,scenario,task_id,seed_group,episode,rollout_seed,avg_reward,avg_cost_usd,blackout_rate,constraint_violation_rate,emissions_tco2,unmet_energy_mwh,reserve_shortfall_rate,stability_event_rate
random,normal,normal,0,1,1000,0.560926,14438.823958,1.0,3.375,886.2476,357.642,0.0,0.0
heuristic,normal,normal,0,1,1000,0.550981,15673.151542,0.916667,2.416667,891.0376,343.957,0.0,0.0
adaptive,normal,normal,0,1,1000,0.577281,30035.995875,0.291667,2.333333,1216.3361,140.587,0.0,0.0
random,shock,stress_shock,0,1,1000,0.561049,24781.9703,0.9,3.3,1803.5966,417.605,0.0,0.0
heuristic,shock,stress_shock,0,1,1000,0.568251,27039.9803,0.966667,2.3,1788.3799,427.234,0.0,0.0
adaptive,shock,stress_shock,0,1,1000,0.561614,44440.774767,0.4,2.666667,2149.5547,310.508,0.0,0.0
random,outage,outage,0,1,1000,0.557455,19995.340933,0.966667,3.3,1471.1724,478.997,0.0,0.0
heuristic,outage,outage,0,1,1000,0.552062,21770.806133,0.9,2.3,1462.5039,494.305,0.0,0.0
adaptive,outage,outage,0,1,1000,0.556116,38057.1585,0.3,2.433333,1861.144,406.546,0.0,0.0
random,renewable_collapse,renewable_collapse,0,1,1000,0.569769,24776.842533,0.933333,3.3,1805.9259,345.025,0.0,0.0
heuristic,renewable_collapse,renewable_collapse,0,1,1000,0.565603,26342.285933,0.966667,2.333333,1764.194,411.293,0.0,0.0
adaptive,renewable_collapse,renewable_collapse,0,1,1000,0.545618,42909.862633,0.333333,2.766667,2097.5798,479.24,0.0,0.0
